id;valor
1;153800
2;9000
3;37800
4;100000
5;25000
6;182900
7;157900
8;25000
9;181550
10;6000
11;175550
12;75500
13;1000
14;74500
15;184610
16;184610
17;128000
18;128000
19;370370
20;324485
21;45885
22;352295
23;335095
24;1800
25;7000
26;8375
27;25
28;182350
29;157350
30;25000
31;126600
32;101600
33;25000
34;153300
35;153300
36;217300
37;217300
38;152200
39;147900
40;4300
41;183100
42;183100
43;257650
44;257100
45;550
46;214100
47;214100
48;316315
49;311565
50;4750
51;1338541
52;116633
53;450000
54;673178
55;12000
56;27000
57;43740
58;15990
59;3777849
60;841508
61;31750
62;398615
63;1508000
64;160817
65;130100
66;229432
67;40000
68;33159
69;11600
70;84480
71;167033
72;141355
73;2211837
74;498641
75;106600
76;1292000
77;114000
78;42393
79;38008
80;44190
81;10000
82;11000
83;21000
84;34005
85;13614664
86;14605
87;588000
88;229732
89;226000
90;10067302
91;801156
92;1200499
93;59974
94;299700
95;54875
96;12000
97;15000
98;14132
99;24001
100;7688
101;2020630
102;130450
103;233750
104;126121
105;124350
106;300000
107;857000
108;84359
109;18000
110;12000
111;52600
112;45000
113;17000
114;16000
115;1000
116;3000
117;2512642
118;81945
119;126900
120;225482
121;1172000
122;550100
123;38517
124;46448
125;10000
126;17250
127;15000
128;189000
129;40000
130;26500
131;26500
132;366900
133;341900
134;25000
135;357850
136;302050
137;16000
138;9800
139;30000
140;389850
141;319600
142;70250
143;361050
144;10000
145;66300
146;304750
147;631290
148;17000
149;608300
150;11400
151;28590
152;269750
153;6000
154;275750
155;580890
156;17500
157;512400
158;12100
159;20000
160;10000
161;40000
162;3890
163;438020
164;384050
165;29000
166;24970
167;285700
168;260700
169;25000
170;384850
171;20000
172;226450
173;22800
174;25000
175;130588
176;12
177;127600
178;127600
179;1050650
180;71550
181;39500
182;630600
183;2000
184;30000
185;420000
186;100
187;832750
188;682200
189;71550
190;2000
191;30000
192;30000
193;17000
194;475500
195;40000
196;279200
197;162000
198;22000
199;27300
200;25000
201;1437033
202;241918
203;220000
204;86060
205;160755
206;269200
207;170500
208;122100
209;166500
210;3947778
211;150109
212;39816
213;13500
214;173254
215;195560
216;800000
217;326500
218;620000
219;600000
220;571797
221;40005
222;34862
223;20000
224;20000
225;17850
226;14000
227;115900
228;185600
229;9025
230;1564051
231;1377539
232;67300
233;10000
234;40000
235;39400
236;29812
237;1270754
